origin_place_id,origin_place_name,destination_place_id,destination_place_name,media_hora
2148,"Acopiara, CE",3545,"Pacajus, CE",4.5000
2148,"Acopiara, CE",3612,"Pedra Branca, CE",1.0000
2148,"Acopiara, CE",3636,"Petrolina, PE",9999.0000
2148,"Acopiara, CE",3661,"Pirangi, CE",9999.0000
2148,"Acopiara, CE",3688,"Pon Da Serra, CE",2.8000
2148,"Acopiara, CE",3780,"Quixada, CE",2.9412
2148,"Acopiara, CE",3781,"Quixeramobim, CE",2.0000
2148,"Acopiara, CE",3864,"Saboeiro, CE",9999.0000
2148,"Acopiara, CE",3887,"Santa Cruz Ban, CE",2.0000
2148,"Acopiara, CE",3906,"Santa Quiteria, CE",6.0000
2148,"Acopiara, CE",3948,"Sao Caetano, CE",9999.0000
2148,"Acopiara, CE",4001,"Sao L Ibaret, CE",9999.0000
2148,"Acopiara, CE",4037,"Seabra, BA",9999.0000
2148,"Acopiara, CE",4043,"Senhor Do Bomfim, BA",9999.0000
2148,"Acopiara, CE",4064,"Sobral, CE",7.0000
2148,"Acopiara, CE",4141,"Transual, CE",0.0000
2148,"Acopiara, CE",4158,"Triangulo, CE",4.2500
2148,"Acopiara, CE",4164,"Trussu, CE",0.0000
2148,"Acopiara, CE",4190,"Umarizeira, CE",1.0000
2148,"Acopiara, CE",4205,"Uruque, CE",9999.0000
2148,"Acopiara, CE",4219,"Varzea Alegre, CE",1.5000
2148,"Acopiara, CE",4230,"Verde Riacho, CE",0.0000
2148,"Acopiara, CE",4239,"Vila Gadelha, CE",9999.0000
2148,"Acopiara, CE",4256,"Vinte, CE",9999.0000
2148,"Acopiara, CE",4279,"Zorra, CE",0.0000
2150,"Acreuna, GO",2488,"Caldas Novas, GO",9999.0000
2150,"Acreuna, GO",2832,"Edealina, GO",9999.0000
2150,"Acreuna, GO",2833,"Edeia, GO",9999.0000
2150,"Acreuna, GO",3105,"Indiara, GO",9999.0000
2150,"Acreuna, GO",3451,"Morrinhos, GO",9999.0000
2150,"Acreuna, GO",3690,"Pontalina, GO",9999.0000
2150,"Acreuna, GO",3783,"Rafael Arrud, CE",9999.0000
2150,"Acreuna, GO",3847,"Rio Verde, MS",9999.0000
2150,"Acreuna, GO",3891,"Santa Helena, GO",9999.0000
2151,"Aeroporto Congonhas, SP",3935,"Santos, SP",1.0000
2151,"Aeroporto Congonhas, SP",3937,"Santos - Ponta da Praia, SP",1.2500
2152,"Afonso Claudio, ES",2145,"Acampamento, ES",9999.0000
2152,"Afonso Claudio, ES",2248,"Arace, ES",9999.0000
2152,"Afonso Claudio, ES",2641,"Conc. Castel, ES",9999.0000
2152,"Afonso Claudio, ES",2800,"E. P. Fogo, ES",9999.0000
2152,"Afonso Claudio, ES",2803,"E. Paraju, ES",9999.0000
2152,"Afonso Claudio, ES",2818,"E. S. Maria, ES",9999.0000
2152,"Afonso Claudio, ES",2980,"Fz. Estado, ES",9999.0000
2152,"Afonso Claudio, ES",2981,"Fz. Guandu, ES",9999.0000
2152,"Afonso Claudio, ES",3098,"Indaia, ES",9999.0000
2152,"Afonso Claudio, ES",3294,"Lajinha ES, ES",9999.0000
2152,"Afonso Claudio, ES",3375,"Marechal Floriano, ES",9999.0000
2152,"Afonso Claudio, ES",3542,"P. do Jucu, ES",9999.0000
2152,"Afonso Claudio, ES",3656,"Piracema, ES",9999.0000
2152,"Afonso Claudio, ES",3732,"Posto Jaguar, ES",9999.0000
2152,"Afonso Claudio, ES",3942,"Sao Bento, ES",9999.0000
2152,"Afonso Claudio, ES",3983,"Sao Joao Vic, ES",9999.0000
2152,"Afonso Claudio, ES",4005,"Sao Luiz, ES",9999.0000
2152,"Afonso Claudio, ES",4078,"Sta Izabe ES, ES",9999.0000
2152,"Afonso Claudio, ES",4080,"Sta Luzia, ES",9999.0000
2152,"Afonso Claudio, ES",4169,"Trv. Dom. Mart, ES",9999.0000
2152,"Afonso Claudio, ES",4226,"Venda Nova, ES",9999.0000
2152,"Afonso Claudio, ES",4232,"Viana, ES",9999.0000
